name  lat	long	url	url-s	url-p	username	
Melbourne	-37.999409	145.069885	 http://farm8.staticflickr.com/7114/7019617717_bc4c3e3278_q.jpg	 http://farm8.staticflickr.com/7114/7019617717_bc4c3e3278_m.jpg	 http://www.flickr.com/photos/33124947@N07/7019617717	 onevery	
Yarn Bombing - Shopping Cart	-37.985321	145.218215	 http://farm5.staticflickr.com/4105/5031884162_f2579f3447_q.jpg	 http://farm5.staticflickr.com/4105/5031884162_f2579f3447_m.jpg	 http://www.flickr.com/photos/62961640@N00/5031884162	 Yarn wrap	
Bombin' Kids II	-37.929315	145.101842	 http://farm3.staticflickr.com/2036/2106143216_af14eea4b1_q.jpg	 http://farm3.staticflickr.com/2036/2106143216_af14eea4b1_m.jpg	 http://www.flickr.com/photos/8126280@N05/2106143216	 thirdculturejp	
give me a sign / hit me baby one more time	-37.924159	144.986143	 http://farm6.staticflickr.com/5057/5514608446_e83dfa3274_q.jpg	 http://farm6.staticflickr.com/5057/5514608446_e83dfa3274_m.jpg	 http://www.flickr.com/photos/46015984@N00/5514608446	 nixwilliams	
Bombin' Kids	-37.922636	145.119352	 http://farm3.staticflickr.com/2171/2105273355_0c79641b17_q.jpg	 http://farm3.staticflickr.com/2171/2105273355_0c79641b17_m.jpg	 http://www.flickr.com/photos/8126280@N05/2105273355	 thirdculturejp	
Getting a hand along the trail	-37.911	145.012667	 http://farm9.staticflickr.com/8471/8134759809_0de86a27dd_q.jpg	 http://farm9.staticflickr.com/8471/8134759809_0de86a27dd_m.jpg	 http://www.flickr.com/photos/40079871@N07/8134759809	 Alexandra Dye	
Electrical Switchboard	-37.910071	145.132082	 http://farm4.staticflickr.com/3124/2770787080_a776bb284d_q.jpg	 http://farm4.staticflickr.com/3124/2770787080_a776bb284d_m.jpg	 http://www.flickr.com/photos/32965158@N00/2770787080	 AurelienS	
Tattoo	-37.907366	145.35942	 http://farm4.staticflickr.com/3621/3404253317_4c2b1f4931_q.jpg	 http://farm4.staticflickr.com/3621/3404253317_4c2b1f4931_m.jpg	 http://www.flickr.com/photos/71438311@N00/3404253317	 Sanctu	
scary girls	-37.895546	145.004249	 http://farm7.staticflickr.com/6020/5904388746_1c5e3b5765_q.jpg	 http://farm7.staticflickr.com/6020/5904388746_1c5e3b5765_m.jpg	 http://www.flickr.com/photos/61825161@N06/5904388746	 yunkle mallakoff	
big wall	-37.895542	145.00426	 http://farm6.staticflickr.com/5080/5903825973_768fa61851_q.jpg	 http://farm6.staticflickr.com/5080/5903825973_768fa61851_m.jpg	 http://www.flickr.com/photos/61825161@N06/5903825973	 yunkle mallakoff	
03-04-07_0841	-37.89338	145.051889	 http://farm1.staticflickr.com/186/447152274_ae03d73572_q.jpg	 http://farm1.staticflickr.com/186/447152274_ae03d73572_m.jpg	 http://www.flickr.com/photos/46743608@N00/447152274	 proper dave	
debt slavery	-37.888402	145.003309	 http://farm4.staticflickr.com/3106/2656752409_2e0d481650_q.jpg	 http://farm4.staticflickr.com/3106/2656752409_2e0d481650_m.jpg	 http://www.flickr.com/photos/29284892@N00/2656752409	 jlipari	
	-37.884337	144.980735	 http://farm8.staticflickr.com/7156/6773022859_110a2fc4a8_q.jpg	 http://farm8.staticflickr.com/7156/6773022859_110a2fc4a8_m.jpg	 http://www.flickr.com/photos/84844368@N00/6773022859	 Yeah Somedayƒ	
	-37.882469	144.982534	 http://farm6.staticflickr.com/5239/5862424892_79c7f3c2ba_q.jpg	 http://farm6.staticflickr.com/5239/5862424892_79c7f3c2ba_m.jpg	 http://www.flickr.com/photos/61825161@N06/5862424892	 yunkle mallakoff	
MAKE YOUR SELF	-37.879053	144.9814	 http://farm6.staticflickr.com/5255/5530267565_ea5aa8a797_q.jpg	 http://farm6.staticflickr.com/5255/5530267565_ea5aa8a797_m.jpg	 http://www.flickr.com/photos/46015984@N00/5530267565	 nixwilliams	
Brimsmead's Pharmacy	-37.876547	144.997301	 http://farm8.staticflickr.com/7192/6781319080_471cbcc6ea_q.jpg	 http://farm8.staticflickr.com/7192/6781319080_471cbcc6ea_m.jpg	 http://www.flickr.com/photos/51434089@N04/6781319080	 red stilletto	
Up to the point	-37.870906	144.979695	 http://farm8.staticflickr.com/7199/6796053740_381e9bab6d_q.jpg	 http://farm8.staticflickr.com/7199/6796053740_381e9bab6d_m.jpg	 http://www.flickr.com/photos/61825161@N06/6796053740	 yunkle mallakoff	
La La 'n Mallakoff	-37.870883	144.980034	 http://farm7.staticflickr.com/6079/6129527066_fffa003220_q.jpg	 http://farm7.staticflickr.com/6079/6129527066_fffa003220_m.jpg	 http://www.flickr.com/photos/61825161@N06/6129527066	 yunkle mallakoff	
Captivated ¥Ë_¥Ë_¥Ë_ Worlds Apart	-37.869551	144.974985	 http://farm9.staticflickr.com/8317/7998202561_bdbbbc7451_q.jpg	 http://farm9.staticflickr.com/8317/7998202561_bdbbbc7451_m.jpg	 http://www.flickr.com/photos/10652115@N07/7998202561	 heritagefutures	
Alley off Acland Street St Kilda 2012-09-22 (_MG_4203_4_5)	-37.869162	144.980328	 http://farm9.staticflickr.com/8459/8029101352_2215a165b5_q.jpg	 http://farm9.staticflickr.com/8459/8029101352_2215a165b5_m.jpg	 http://www.flickr.com/photos/74822983@N02/8029101352	 ajhaysom	
Graffiti Dished Up	-37.86906	144.993438	 http://farm7.staticflickr.com/6180/6189936269_bc40f4034c_q.jpg	 http://farm7.staticflickr.com/6180/6189936269_bc40f4034c_m.jpg	 http://www.flickr.com/photos/51434089@N04/6189936269	 red stilletto	
RamBush goes beach	-37.868992	144.974927	 http://farm4.staticflickr.com/3169/3102638426_2b87b686b4_q.jpg	 http://farm4.staticflickr.com/3169/3102638426_2b87b686b4_m.jpg	 http://www.flickr.com/photos/65276246@N00/3102638426	 Satta van Daal	
Graffiti @93	-37.868924	144.993438	 http://farm7.staticflickr.com/6139/6190437362_768399cf58_q.jpg	 http://farm7.staticflickr.com/6139/6190437362_768399cf58_m.jpg	 http://www.flickr.com/photos/51434089@N04/6190437362	 red stilletto	
Red Crate @93	-37.868908	144.993524	 http://farm7.staticflickr.com/6180/6190443736_6464254008_q.jpg	 http://farm7.staticflickr.com/6180/6190443736_6464254008_m.jpg	 http://www.flickr.com/photos/51434089@N04/6190443736	 red stilletto	
Oh no!  La La Mallakoff	-37.868326	144.978264	 http://farm7.staticflickr.com/6015/6011045357_59b8dd2cd4_q.jpg	 http://farm7.staticflickr.com/6015/6011045357_59b8dd2cd4_m.jpg	 http://www.flickr.com/photos/61825161@N06/6011045357	 yunkle mallakoff	
